,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_features,param_max_depth,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
9,0.6523711204528808,0.010542812779022163,0.026461982727050783,0.001192599557017858,40,6,10,"{'n_estimators': 40, 'max_features': 6, 'max_depth': 10}",0.9953955199736059,0.9964717509532771,0.9959743626236438,0.9974178634198116,0.9973935769562872,0.9965306147853251,0.0007916104468234616,1
14,0.14216184616088867,0.004906662541522587,0.012923383712768554,0.001476337092585952,10,6,8,"{'n_estimators': 10, 'max_features': 6, 'max_depth': 8}",0.9946121191944357,0.9962645745056316,0.9972643364599644,0.9969832119545228,0.9969414255381529,0.9964131335305414,0.0009585771439580572,2
3,0.3232170581817627,0.024923046692937233,0.018512725830078125,0.0007652855652700081,30,5,8,"{'n_estimators': 30, 'max_features': 5, 'max_depth': 8}",0.9950065741920046,0.9962207224183572,0.9957329325030256,0.9970861075216116,0.9972416564596535,0.9962575986189306,0.0008362407954438774,3
4,0.22826004028320312,0.01122407741969922,0.015429162979125976,0.0013562401304751419,20,5,8,"{'n_estimators': 20, 'max_features': 5, 'max_depth': 8}",0.9946133916319165,0.9958781539824381,0.9948302338209047,0.9970520036073469,0.9969192514107571,0.9958586068906726,0.0010156433253276974,4
8,0.14393167495727538,0.007335714873088711,0.012624263763427734,0.0018249995975145525,10,5,10,"{'n_estimators': 10, 'max_features': 5, 'max_depth': 10}",0.9922333952201835,0.9964342508352033,0.9953335678662744,0.9968948286912831,0.9961328268537613,0.9954057738933411,0.0016657043660098863,5
7,0.4045123100280762,0.007012823093090047,0.02426772117614746,0.0014264599041210733,40,4,8,"{'n_estimators': 40, 'max_features': 4, 'max_depth': 8}",0.9933401038738253,0.9953923828695348,0.9951878847458696,0.995695933801315,0.9964897977844898,0.9952212206150068,0.0010395815153885532,6
0,0.2042367935180664,0.0038484465982989023,0.015668249130249022,0.001867533363815545,20,4,8,"{'n_estimators': 20, 'max_features': 4, 'max_depth': 8}",0.9920413425780816,0.9950893356045434,0.9933202263939593,0.9955191614763378,0.9957494912343634,0.9943439114574572,0.0014326394402419027,7
2,0.39478268623352053,0.008892854729540295,0.022907161712646486,0.0008042535391483318,50,4,6,"{'n_estimators': 50, 'max_features': 4, 'max_depth': 6}",0.9886361261721307,0.9907248156719943,0.9880434793597276,0.9905298059083639,0.9924946080923603,0.9900857670409154,0.0015925116326732157,8
11,0.17451939582824708,0.010108089629449677,0.014191007614135743,0.001157958198056511,20,4,6,"{'n_estimators': 20, 'max_features': 4, 'max_depth': 6}",0.9879236727963592,0.9893000585331625,0.9889067124150891,0.9905294110570002,0.9931914996740447,0.9899702708951311,0.0018142688662498806,9
10,0.08837871551513672,0.00616143921148034,0.010267686843872071,0.000701940988405737,10,4,6,"{'n_estimators': 10, 'max_features': 4, 'max_depth': 6}",0.9863334201271067,0.9851813952894386,0.9896067645590662,0.9859665716315625,0.9896903119685446,0.9873556927151437,0.0019089284653637582,10
13,0.0868062973022461,0.005375612981716798,0.009805774688720703,0.0007678525592776262,10,6,4,"{'n_estimators': 10, 'max_features': 6, 'max_depth': 4}",0.9651756539526819,0.9641737016159703,0.9610872926470473,0.9727717829716805,0.9728997751134693,0.9672216412601697,0.004778106531215887,11
5,0.1320436954498291,0.001849753539754628,0.012847995758056641,0.0008793687265942676,20,4,4,"{'n_estimators': 20, 'max_features': 4, 'max_depth': 4}",0.953823922302207,0.960535724483887,0.9564479671658176,0.9592412231522818,0.9664835588949745,0.9593064791998337,0.004272125851489878,12
12,0.2623881816864014,0.008994343736646848,0.01482253074645996,0.0019164844314248578,40,5,3,"{'n_estimators': 40, 'max_features': 5, 'max_depth': 3}",0.910678175649616,0.9245693475153631,0.9163977831577746,0.9193581228401059,0.9230668533494696,0.9188140565024658,0.004970645792506421,13
1,0.2821066856384277,0.008687596937669767,0.017699813842773436,0.0005004855327050985,50,4,3,"{'n_estimators': 50, 'max_features': 4, 'max_depth': 3}",0.902164458521298,0.9181604144144384,0.9113885539896325,0.9140622855358861,0.917964130169523,0.9127479685261555,0.005866669138283245,14
6,0.22802209854125977,0.01081152846767477,0.015449762344360352,0.0012777639848059158,40,4,3,"{'n_estimators': 40, 'max_features': 4, 'max_depth': 3}",0.9016162285790243,0.9201637825509562,0.9127679632857717,0.9128695752422012,0.9093860724821409,0.9113607244280189,0.006010078767478387,15
